X,Y,id,left_fm,right_fm,min_offset,strat_offset
597580.386243715,7479497.725317055,Fault_6825,Hardey_Formation,Hardey_Formation,0.0,000
598275.513504575,7479316.734862775,Fault_6825,Hardey_Formation,Hardey_Formation,0.0,000
598462.934968075,7479254.485314511,Fault_6825,Milli_Milli_Inlier_greenstones,Hardey_Formation,-1,006
598923.68993599,7479101.4983062595,Fault_6825,Milli_Milli_Inlier_greenstones,Milli_Milli_Inlier_greenstones,-1,000
599637.710938505,7478818.2600357495,Fault_6825,Milli_Milli_Inlier_greenstones,Milli_Milli_Inlier_greenstones,-1,000
600555.0157979,7478466.52834093,Fault_6825,Milli_Milli_Inlier_greenstones,Milli_Milli_Inlier_greenstones,-1,000
601491.35774928,7478114.5441443045,Fault_6825,Milli_Milli_Inlier_greenstones,Milli_Milli_Inlier_greenstones,-1,000
602381.32131515,7477644.281236544,Fault_6825,Milli_Milli_Inlier_greenstones,Milli_Milli_Inlier_greenstones,-1,000
603433.49314832,7476903.503384285,Fault_6825,Milli_Milli_Inlier_greenstones,Milli_Milli_Inlier_greenstones,-1,000
604157.1354320601,7476271.731012445,Fault_6825,Hardey_Formation,Milli_Milli_Inlier_greenstones,-1,006
604673.038211475,7475762.713077961,Fault_6825,Hardey_Formation,Hardey_Formation,0.0,000
605359.413860005,7475073.199043805,Fault_6825,Hardey_Formation,Hardey_Formation,0.0,000
606064.70644478,7474270.678764835,Fault_6825,Hardey_Formation,Hardey_Formation,0.0,000
606728.47347123,7473417.399078861,Fault_6825,Hardey_Formation,Hardey_Formation,0.0,000
607159.0005233451,7472840.459945605,Fault_6825,Hardey_Formation,Hardey_Formation,0.0,000
607465.239319865,7472383.701821515,Fault_6825,Hardey_Formation,Hardey_Formation,0.0,000
607944.2877313499,7471654.12178437,Fault_6825,Hardey_Formation,Hardey_Formation,0.0,000
608484.329231615,7470877.871450955,Fault_6825,Hardey_Formation,Hardey_Formation,0.0,000
609043.64613151,7470152.360256335,Fault_6825,Hardey_Formation,Hardey_Formation,0.0,000
609679.364308345,7469435.847706255,Fault_6825,Hardey_Formation,Hardey_Formation,0.0,000
610287.18682173,7468869.348189335,Fault_6825,Hardey_Formation,Hardey_Formation,0.0,000
610625.906587995,7468591.851775755,Fault_6825,Hardey_Formation,Hardey_Formation,0.0,000
610879.32062101,7468389.84978169,Fault_6825,Fortescue_Group,Hardey_Formation,1640.0,004
611601.924341985,7467853.35546285,Fault_6825,Fortescue_Group,Hardey_Formation,1640.0,004
612308.5069292199,7467345.61278138,Fault_6825,Fortescue_Group,Hardey_Formation,1640.0,004
612653.94303328,7467105.1125688,Fault_6825,Fortescue_Group,Hardey_Formation,1640.0,004
613221.5151547,7466756.35321372,Fault_6825,Fortescue_Group,Fortescue_Group,0.0,000
613640.7040744401,7466522.602069375,Fault_6825,Fortescue_Group,Fortescue_Group,0.0,000
