X,Y,Z,formation
535884.83799885,7437328.93267756,332.,Fault_17128
534053.5317115,7438704.3904345,330.,Fault_17128
530270.67767628,7441593.92142855,335.,Fault_17128
525830.85783435,7445688.00221281,346.,Fault_17128
518445.8795272,7452562.85753813,387.,Fault_17128
625226.49954169,7474334.77400805,918.,Fault_148
624503.29223303,7480053.80986146,696.,Fault_148
624634.01230837,7480791.85110105,668.,Fault_148
625795.10086514,7482710.40208126,670.,Fault_148
556882.96814188,7437445.82129141,381.,Fault_307
561943.36781042,7436155.22578777,392.,Fault_307
566723.28087973,7435433.86997358,390.,Fault_307
571232.75098455,7435666.49886519,398.,Fault_307
576296.51740163,7435748.55709441,419.,Fault_307
521647.7793439,7467241.05086821,417.,Fault_313
529902.48198721,7464605.40200393,475.,Fault_313
538674.36701702,7463361.71676582,398.,Fault_313
550889.79947393,7443709.80105831,419.,Fault_807
547179.71039046,7444568.87904873,477.,Fault_807
546188.62876875,7444714.9100007,489.,Fault_807
540231.21566001,7447112.95219815,510.,Fault_807
538718.0967186,7447692.00678337,476.,Fault_807
627577.13601661,7484556.86542482,681.,Fault_818
625795.10086514,7482710.40208126,670.,Fault_818
624305.90194037,7482368.91067544,658.,Fault_818
621680.57007938,7481565.40199611,641.,Fault_818
614578.88890325,7479325.6208935,640.,Fault_818
613840.0968771,7479052.1928983,640.,Fault_818
569405.44260766,7496423.33170704,636.,Fault_1236
570849.28487416,7494548.57317934,687.,Fault_1236
573101.85181021,7492547.99421482,857.,Fault_1236
573812.15107629,7492136.50772221,760.,Fault_1236
534692.88943527,7447516.12007843,483.,Fault_1831
539431.72501272,7444088.94325265,410.,Fault_1831
540034.45143388,7443382.91765981,443.,Fault_1831
541288.1691062,7441533.89944919,410.,Fault_1831
566836.629748,7429573.98637556,502.,Fault_2213
563671.87718028,7433304.26666283,405.,Fault_2213
561129.50010027,7436356.73180885,394.,Fault_2213
548227.37947599,7440798.85949991,451.,Fault_2214
547179.71039046,7444568.87904873,477.,Fault_2214
544376.13962199,7450778.98879267,548.,Fault_2214
544229.29847218,7451684.49182652,527.,Fault_2214
546997.7593224,7441224.36794216,425.,Fault_2215
545309.72127688,7443379.90050888,457.,Fault_2215
543521.88821922,7444592.92135305,456.,Fault_2215
541485.57024875,7445390.90866341,484.,Fault_2215
517573.97440977,7473125.01394265,394.,Fault_2229
515670.5044444,7476711.91367855,376.,Fault_2229
515320.87237912,7478063.34776456,407.,Fault_2229
515159.94932862,7478999.8154731,394.,Fault_2229
525375.30636128,7483424.96866113,422.,Fault_2235
522902.44986615,7486302.46332054,451.,Fault_2235
521224.2899599,7489118.45021574,501.,Fault_2235
518943.53730775,7493598.92878699,518.,Fault_2235
