X,Y,Z,azimuth,dip,polarity,formation,group
543030.3483367097,7462373.205709832,430.,366.1992131370715,19,1,Fortescue_Group,Fortescue Group
543192.3268907205,7463864.434380438,488.,546.1992131370715,19,1,Fortescue_Group,Fortescue Group
569655.7678567562,7423971.687960294,375.,206.63736023976946,51,1,Mount_McGrath_Formation,Wyloo Group
568983.2548056087,7422630.894838282,360.,386.63736023976946,51,1,Duck_Creek_Dolomite,Wyloo Group
559910.0837662709,7427955.797748144,348.,198.67927053437796,44,1,Duck_Creek_Dolomite,Wyloo Group
559429.6783592191,7426534.808429086,338.,378.67927053437796,44,1,Mount_McGrath_Formation,Wyloo Group
551393.9485642806,7431029.515168022,332.,201.88836927507248,43,1,Duck_Creek_Dolomite,Wyloo Group
550834.7494203494,7429637.647244178,326.,381.8883692750725,43,1,Duck_Creek_Dolomite,Wyloo Group
545868.1646868414,7432993.639573249,345.,196.48395512868387,49,1,Duck_Creek_Dolomite,Wyloo Group
545442.5444423086,7431555.290725631,335.,376.4839551286839,49,1,Duck_Creek_Dolomite,Wyloo Group
536288.777452446,7435475.115258539,334.,193.85910254026794,54,1,Duck_Creek_Dolomite,Wyloo Group
535929.4748197738,7434018.78369665,325.,373.85910254026794,54,1,Duck_Creek_Dolomite,Wyloo Group
523277.2910895569,7439666.1893834965,353.,202.43432348960886,50,1,Duck_Creek_Dolomite,Wyloo Group
522704.8548427331,7438279.713006734,295.,382.43432348960886,50,1,Duck_Creek_Dolomite,Wyloo Group
514794.54752827703,7443180.748270404,286.,202.6716075139998,46,1,Duck_Creek_Dolomite,Wyloo Group
514216.3742708934,7441796.654456947,280.,382.6716075139998,46,1,Duck_Creek_Dolomite,Wyloo Group
618203.2803323263,7499819.822245604,811.,201.9909287571919,23,1,Wittenoom_Formation,Hamersley Group
617641.5906411136,7498428.957517895,1061.,381.9909287571919,23,1,Wittenoom_Formation,Hamersley Group
613808.1655554387,7502335.330419289,741.,217.7804276577541,18,1,Wittenoom_Formation,Hamersley Group
612889.2099061713,7501149.783914642,732.,397.7804276577541,18,1,Wittenoom_Formation,Hamersley Group
611934.7359135454,7508727.935084998,1038.,197.39946823597546,11,1,Brockman_Iron_Formation,Hamersley Group
611486.1880096847,7507296.570429173,1024.,377.39946823597546,11,1,Brockman_Iron_Formation,Hamersley Group
607938.837794573,7508438.493363365,772.,381.54794097044146,7,1,Brockman_Iron_Formation,Hamersley Group
