X,Y,Z,DipDirection,dip,DipPolarity,formation
577499.16801855,7444863.12010743,455.,168.97798262047002,90,1,Fault_8909
578512.37145906,7432245.54170686,433.,55.52933502957509,90,1,Fault_9173
532230.43929447,7452509.99932351,479.,30.51865309906313,90,1,Fault_9401
517828.8937892,7485749.40160572,445.,32.98260362507932,90,1,Fault_10762
607398.81067562,7422244.59024652,428.,139.10049727407713,90,1,Fault_11396
575026.9372478,7490125.52045331,672.,43.2758534348591,90,1,Fault_11442
566537.66290011,7449916.8272636,472.,23.19523243570831,90,1,Fault_12605
582236.50796164,7454230.40940452,514.,6.090526870339706,90,1,Fault_12611
514214.27760268,7459401.53151935,334.,33.9083451669135,90,1,Fault_12618
571177.93168936,7471840.92028696,840.,41.598140753268545,90,1,Fault_12627
566385.07789954,7494840.9257763,644.,46.592185046949254,90,1,Fault_12642
579998.53160966,7491861.57121131,643.,32.809909536255276,90,1,Fault_12644
526718.59949805,7491736.49932416,540.,56.97129327251198,90,1,Fault_12647
548771.48288559,7501629.77815787,565.,69.34654856581821,90,1,Fault_12658
574996.20627219,7424822.77540761,655.,47.99228076840604,90,1,Fault_14081
517381.03036753,7501996.4504586,523.,54.6236441803624,90,1,Fault_14378
512715.58223162,7425917.81568263,302.,26.854571624583627,90,1,Fault_14775
567142.24130634,7447991.85411121,423.,148.4851555119234,90,1,Fault_15340
605284.88123726,7424145.21989851,454.,111.70543502740479,90,1,Fault_15497
590827.00823735,7439461.95762095,694.,153.4139652196881,90,1,Fault_15510
596022.37780852,7471432.31193762,649.,23.909214246832995,90,1,Fault_15531
529396.60859074,7461215.96148827,473.,6.238976908356705,90,1,Fault_16397
632796.97137288,7468265.91099108,577.,12.028587929218936,90,1,Fault_16398
573433.24973712,7427528.94975324,384.,43.293835983418845,90,1,Fault_16437
571371.88021524,7430077.46849684,383.,46.15605407801285,90,1,Fault_16480
517054.88203694,7461633.09011788,317.,53.68677450592381,90,1,Fault_16502
579739.75852605,7470960.80656096,604.,3.9582647956431742,90,1,Fault_16744
565489.34090637,7479184.88080296,694.,34.01561679263028,90,1,Fault_16754
524558.09278295,7430452.48022588,319.,13.522279921789561,90,1,Fault_16814
