index,X,Y,Z,formation
33,530570.4746010794,7460806.707174315,402.0,Marra_Mamba_Iron_Formation
34,512340.63212139,7495887.86019937,562.0,Marra_Mamba_Iron_Formation
35,511975.4630899804,7495718.021266787,562.0,Marra_Mamba_Iron_Formation
36,515377.8596993252,7497445.870865514,538.0,Marra_Mamba_Iron_Formation
37,514979.90238546,7497235.89822413,538.0,Marra_Mamba_Iron_Formation
38,514795.08186287,7497160.40068031,538.0,Marra_Mamba_Iron_Formation
39,512863.42013538,7496165.36925071,604.0,Marra_Mamba_Iron_Formation
40,555248.25097484,7433419.35019796,367.0,Marra_Mamba_Iron_Formation
41,556539.92796986,7432814.31053323,373.0,Marra_Mamba_Iron_Formation
42,558024.35141502,7431972.24976986,466.0,Marra_Mamba_Iron_Formation
43,572990.3131505726,7479476.766330716,677.0,Marra_Mamba_Iron_Formation
44,570568.90053278,7478839.50143244,672.0,Marra_Mamba_Iron_Formation
45,569712.98000444,7478054.97016728,706.0,Marra_Mamba_Iron_Formation
46,569724.2684984,7477761.97032191,706.0,Marra_Mamba_Iron_Formation
47,570104.86898339,7476219.44985559,760.0,Marra_Mamba_Iron_Formation
48,570007.8403695426,7476057.620853848,749.0,Marra_Mamba_Iron_Formation
49,573869.7037392969,7472340.738292956,690.0,Marra_Mamba_Iron_Formation
50,573789.61890691,7471432.42195722,679.0,Marra_Mamba_Iron_Formation
51,540537.06019911,7437888.40928756,398.0,Marra_Mamba_Iron_Formation
52,542311.59983117,7437946.40079195,396.0,Marra_Mamba_Iron_Formation
53,542663.5159367803,7437818.076478186,432.0,Marra_Mamba_Iron_Formation
54,542681.798025144,7437809.918942482,432.0,Marra_Mamba_Iron_Formation
55,543263.58896215,7437693.9114608,394.0,Marra_Mamba_Iron_Formation
56,544155.8045314158,7437618.269894782,399.0,Marra_Mamba_Iron_Formation
57,544178.4920223322,7437613.014085764,399.0,Marra_Mamba_Iron_Formation
58,544494.1093151,7437512.40169874,390.0,Marra_Mamba_Iron_Formation
59,546631.36049594,7437382.89088315,466.0,Marra_Mamba_Iron_Formation
60,547790.5283532001,7437408.8790948,466.0,Marra_Mamba_Iron_Formation
61,550009.9439225119,7436659.878039108,428.0,Marra_Mamba_Iron_Formation
62,540308.7720090057,7437708.400967092,379.0,Marra_Mamba_Iron_Formation
63,540362.16999829,7437790.90080062,379.0,Marra_Mamba_Iron_Formation
64,580328.6183103635,7480671.657672225,793.0,Marra_Mamba_Iron_Formation
65,578677.26921372,7480188.96911943,745.0,Marra_Mamba_Iron_Formation
66,577767.86957224,7480194.01126269,704.0,Marra_Mamba_Iron_Formation
67,576585.35958382,7480270.5214893995,715.0,Marra_Mamba_Iron_Formation
68,574423.04761748,7480231.53104291,695.0,Marra_Mamba_Iron_Formation
69,573983.90830736,7480170.02977684,677.0,Marra_Mamba_Iron_Formation
70,567041.8974195496,7430854.127730518,402.0,Marra_Mamba_Iron_Formation
71,569112.1321111701,7430550.8861697875,577.0,Marra_Mamba_Iron_Formation
72,570220.0628672026,7429799.514180343,435.0,Marra_Mamba_Iron_Formation
73,570911.14246559,7429926.46150719,571.0,Marra_Mamba_Iron_Formation
74,571361.8702599563,7430072.474770294,531.0,Marra_Mamba_Iron_Formation
75,570525.0999759347,7430685.652984353,426.0,Marra_Mamba_Iron_Formation
76,570620.19142926,7430851.96110934,425.0,Marra_Mamba_Iron_Formation
77,571757.55921399,7431063.99045908,434.0,Marra_Mamba_Iron_Formation
78,518908.57940346,7498264.44097353,523.0,Marra_Mamba_Iron_Formation
79,517854.134259822,7497222.045310862,561.0,Marra_Mamba_Iron_Formation
80,524500.3112717137,7500180.372155857,551.0,Marra_Mamba_Iron_Formation
81,524463.09924496,7500175.49986646,551.0,Marra_Mamba_Iron_Formation
82,522503.1624246932,7499751.781237598,572.0,Marra_Mamba_Iron_Formation
83,522476.74840981024,7499754.399634303,572.0,Marra_Mamba_Iron_Formation
84,521058.2386759,7499640.45956057,592.0,Marra_Mamba_Iron_Formation
85,519260.53025385295,7498686.041981119,521.0,Marra_Mamba_Iron_Formation
86,519326.6581009586,7498468.054550703,521.0,Marra_Mamba_Iron_Formation
87,537275.28207108,7437743.39052456,374.0,Marra_Mamba_Iron_Formation
88,538765.86939894,7437888.4094881,363.0,Marra_Mamba_Iron_Formation
89,539711.39798666,7437709.39071156,394.0,Marra_Mamba_Iron_Formation
90,539809.8320435219,7437656.51640722,379.0,Marra_Mamba_Iron_Formation
91,535847.5564867706,7437366.88934427,332.0,Marra_Mamba_Iron_Formation
92,536432.00912054,7437530.39070338,346.0,Marra_Mamba_Iron_Formation
93,516489.10989085,7497660.42043624,589.0,Marra_Mamba_Iron_Formation
94,515863.18009091,7497103.4211182995,538.0,Marra_Mamba_Iron_Formation
95,515761.91075701354,7497047.458154432,538.0,Marra_Mamba_Iron_Formation
96,516880.1395366171,7498191.163201245,589.0,Marra_Mamba_Iron_Formation
97,516642.61860186,7497850.43077794,589.0,Marra_Mamba_Iron_Formation
98,563878.5595915209,7428658.702458993,440.0,Marra_Mamba_Iron_Formation
99,564915.17978262,7428217.79955178,391.0,Marra_Mamba_Iron_Formation
100,566043.27864613,7427524.33761734,402.0,Marra_Mamba_Iron_Formation
101,566395.76901669,7427253.85093254,403.0,Marra_Mamba_Iron_Formation
