X,Y,Z,azimuth,dip,polarity,formation
593377.54566183,7471542.23953876,700.0,384.0,30,1,Hardey_Formation
589986.78096039,7474127.7426832,657.0,433.0,30,1,Hardey_Formation
590589.29186494,7475984.30823651,680.0,141.0,35,1,Hardey_Formation
596083.43523672,7475918.88164344,697.0,169.0,15,1,Hardey_Formation
603933.09737889,7474878.41537053,600.0,376.0,10,1,Hardey_Formation
586721.9988849,7480525.37560402,697.0,165.0,60,1,Jeerinah_Formation
619906.55626126,7482080.99000879,684.0,178.0,25,1,Boongal_Formation
589180.69502794,7488020.07128749,834.0,401.0,14,1,Bunjinah_Formation
600790.74331739,7500172.00925434,723.0,425.0,8,1,Jeerinah_Formation
591990.10991794,7504374.26526508,771.0,438.0,9,1,Bunjinah_Formation
594078.90793229,7506681.2734175995,707.0,429.0,12,1,Jeerinah_Formation
616987.46942247,7505240.93240244,1126.0,401.0,30,1,Brockman_Iron_Formation
612196.73633224,7507639.95541634,799.0,373.0,10,1,Brockman_Iron_Formation
618283.06424159,7494620.24937409,727.0,370.0,20,1,Marra_Mamba_Iron_Formation
618510.90312951,7493431.702836299,751.0,373.0,45,1,Jeerinah_Formation
609199.65788697,7492570.44390238,766.0,396.0,15,1,Bunjinah_Formation
625045.71818429,7484320.02925223,681.0,180.0,20,1,Pyradie_Formation
625721.95027397,7470638.32604055,596.0,407.0,40,1,Hardey_Formation
605637.8101038,7467028.75419364,625.0,173.0,10,1,Hardey_Formation
610173.73902349,7466673.25589871,579.0,112.0,15,1,Hardey_Formation
615169.47883118,7469913.21685,587.0,179.0,40,1,Hardey_Formation
619963.30823831,7467404.62884712,566.0,368.0,70,1,Hardey_Formation
608445.72774584,7462444.21644437,606.0,448.0,5,1,Hardey_Formation
608034.70377137,7459636.23953627,585.0,120.0,10,1,Hardey_Formation
636317.19563836,7459346.19384157,727.0,373.0,45,1,Brockman_Iron_Formation
641031.54765736,7463908.10794644,672.0,160.0,20,1,Jeerinah_Formation
630921.09926945,7462515.87500031,698.0,361.0,20,1,Jeerinah_Formation
626744.94250725,7467430.95273447,583.0,372.0,55,1,Hardey_Formation
629880.66537408,7467508.02696224,600.0,361.0,20,1,Hardey_Formation
631856.6035144,7467974.92807482,628.0,103.0,5,1,Hardey_Formation
634371.49042669,7468657.82768244,709.0,412.0,20,1,Hardey_Formation
639483.27574794,7477561.731208299,736.0,373.0,30,1,Marra_Mamba_Iron_Formation
643814.9154662,7474646.70380401,795.0,387.0,20,1,Marra_Mamba_Iron_Formation
642701.18365384,7479614.77086621,947.0,374.0,15,1,Brockman_Iron_Formation
639770.70502258,7481523.8153222995,750.0,373.0,25,1,Brockman_Iron_Formation
631461.69296679,7481020.84062801,700.0,379.0,15,1,Marra_Mamba_Iron_Formation
629326.63883299,7481636.88884305,729.0,421.0,20,1,Jeerinah_Formation
634268.99898986,7483427.85632053,831.0,437.0,15,1,Brockman_Iron_Formation
633386.22096893,7486373.94048245,772.0,431.0,30,1,Brockman_Iron_Formation
630584.06929904,7484536.39900353,704.0,90.0,20,1,Marra_Mamba_Iron_Formation
628757.03391316,7487867.48446192,696.0,387.0,45,1,Marra_Mamba_Iron_Formation
631266.61979972,7489242.51959967,745.0,386.0,40,1,Brockman_Iron_Formation
632174.97740204,7490803.07286221,728.0,427.0,20,1,Weeli_Wolli_Formation
631169.06050378,7492317.12483763,767.0,113.0,15,1,Brockman_Iron_Formation
629562.64121055,7493476.66657656,889.0,408.0,40,1,Brockman_Iron_Formation
630204.14787046,7497408.27804363,845.0,149.0,20,1,Brockman_Iron_Formation
638466.97589429,7498049.78586786,778.0,362.0,15,1,Weeli_Wolli_Formation
635095.07314312,7501893.84427616,893.0,365.0,5,1,Brockman_Iron_Formation
629885.90349737,7505450.37638555,951.0,379.0,5,1,Brockman_Iron_Formation
635351.6944536,7505696.87344591,797.0,384.0,10,1,Brockman_Iron_Formation
630973.91320032,7508247.40043631,838.0,394.0,10,1,Brockman_Iron_Formation
530058.68229413,7464016.56701922,478.0,380.0,85,1,Jeerinah_Formation
554851.4469657,7446076.68552223,421.0,215.0,15,1,Hardey_Formation
637099.91999735,7459073.72052256,663.0,189.0,54,1,Brockman_Iron_Formation
559729.28182154,7440943.22635014,438.0,210.0,20,1,Mount_Roe_Basalt
572991.27872957,7437101.50839763,410.0,100.0,30,1,Hardey_Formation
583103.70447763,7491875.36363708,777.0,225.0,13,1,Jeerinah_Formation
627660.03077313,7480700.37618819,760.0,425.0,15,1,Jeerinah_Formation
552049.0524020001,7487780.78569838,564.0,390.0,28,1,Boolgeeda_Iron_Formation
609260.7267146999,7444381.0552039,475.0,140.0,46,1,Marra_Mamba_Iron_Formation
588665.7933683001,7480952.561448599,707.0,350.0,50,1,Jeerinah_Formation
560811.98314299,7437658.02744589,443.0,190.0,30,1,Mount_Roe_Basalt
583522.14935239,7470458.87070413,667.0,300.0,12,1,Bunjinah_Formation
589173.03633512,7488679.28764451,906.0,230.0,14,1,Bunjinah_Formation
538806.02756515,7483993.09306394,497.0,370.0,63,1,Hardey_Formation
584997.14914558,7422101.3324153,595.0,209.0,22,1,Brockman_Iron_Formation
573148.5925258,7482595.03950715,783.0,385.0,44,1,Brockman_Iron_Formation
