GROUP_,id,x,y,z,code
Milli Milli Inlier metagranitc unit,7366,595811.49370162,7475245.88066057,649.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,596479.07765213,7475210.38782823,649.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,597191.01942651,7475136.88970838,649.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,598240.03025327,7475073.90880537,649.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,598761.52957284,7475077.41117856,667.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,599690.78019313,7475237.92077934,667.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,599900.50882561,7475223.93018281,667.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,600440.66852667,7475131.92984551,667.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,600923.20122918,7474969.92791929,667.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,601532.96901067,7474813.93985722,620.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,602206.4292549,7474682.92914997,620.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,602892.48964814,7474513.94171609,637.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,603774.95080844,7474203.41987024,637.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,604169.22005712,7474188.41210195,637.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,604474.49032306,7474199.92181453,613.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,604538.17908042,7474211.91910648,613.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,604595.40874701,7474211.91804388,613.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,605245.14146946,7473840.41108714,613.,Milli_Milli_Inlier_metagranitc_unit
