X,Y,fname,apparent_displacement,vertical_displacement,downthrow_dir
516810.97132595413,7495902.173419985,Fault_2235,1894,682,52.52090791805118
515354.57641296176,7497476.97492144,Fault_2235,564,328,52.52090791805118
515081.3739415175,7497757.829844736,Fault_2235,682,415,52.52090791805118
514462.89635110885,7498278.9374536555,Fault_2235,413,287,52.52090791805118
514220.4193789854,7498441.161617287,Fault_2235,404,266,52.52090791805118
561776.455528778,7431769.993571883,Fault_2834,3750,2129,257.16506233955874
561211.2963465732,7432981.031658508,Fault_2834,1428,1065,257.16506233955874
559627.6409803092,7435413.980199088,Fault_2834,1127,561,257.16506233955874
550838.7389700852,7443780.871330177,Fault_2834,-829,54,77.16506233955876
549717.9756737715,7449112.824120037,Fault_2834,13705,3358,77.16506233955876
549717.9756737715,7449112.824120037,Fault_2834,-5530,1368,257.16506233955874
556983.7798835431,7441271.597531616,Fault_2834,396,122,77.16506233955876
561539.1875487147,7439281.2051766915,Fault_2834,2922,1380,257.16506233955874
565108.0759939019,7434275.216927695,Fault_2835,368,183,239.28838353671532
565477.4035556288,7433554.865278067,Fault_2835,267,131,239.28838353671532
533262.7333903763,7459961.896554134,Fault_2837,500,126,44.500191967829586
572484.4756859423,7483647.702557443,Fault_2840,10,2,31.2780226854806
578311.1335257881,7480920.566314746,Fault_2840,-1209,165,211.2780226854806
513031.2531587101,7501941.986974254,Fault_2843,1054,1023,54.35894640665413
513419.0839339783,7501326.6654648725,Fault_2843,1141,1234,54.35894640665413
513982.320915368,7500717.34994422,Fault_2843,830,713,54.35894640665413
514436.15434768616,7500317.355938603,Fault_2843,885,718,54.35894640665413
516408.0477275356,7498689.684731634,Fault_2843,589,293,54.35894640665413
517046.1159568411,7498061.573232298,Fault_2843,1282,492,54.35894640665413
517515.03954952856,7497623.461603942,Fault_2843,1414,438,54.35894640665413
567168.6847097967,7432223.172529076,Fault_2910,-1483,732,89.86184404293738
567036.111743531,7430848.01213833,Fault_2910,-3754,1817,89.86184404293738
590115.1139993669,7481513.032861549,Fault_2996,-414,9,173.04101931827304
580258.5605049495,7480678.295036144,Fault_2996,7417,493,353.041019318273
573142.1282986787,7480049.820882215,Fault_2996,-663,115,353.041019318273
544307.7009709796,7491692.638204272,Fault_2997,386,73,219.1048647422657
544096.2319441242,7491917.18636764,Fault_2997,261,43,219.1048647422657
543752.3696961959,7492222.851958401,Fault_2997,224,35,219.1048647422657
543147.1098549506,7492663.963172542,Fault_2997,10,1,219.1048647422657
541296.768512412,7493636.112274465,Fault_2997,687,130,219.1048647422657
532506.0249999486,7486149.327272644,Fault_3496,9,7,55.701468332421726
531837.0898258123,7487073.865032861,Fault_3496,10,7,55.701468332421726
530163.5341764191,7489563.8209636025,Fault_3496,-3252,824,235.7014683324217
525325.505628057,7499021.226343844,Fault_3496,10,0,55.701468332421726
523030.67531095765,7501448.433077919,Fault_3496,984,96,55.701468332421726
522395.9013795352,7501938.481481321,Fault_3496,143,2,55.701468332421726
538705.4244229305,7492846.635833018,Fault_3498,612,248,233.45748321343854
534323.1113282444,7499015.00176838,Fault_3498,-197,31,233.45748321343854
533028.5078386215,7500865.5447231885,Fault_3498,415,104,53.457483213438536
532905.6167448963,7501137.697782937,Fault_3498,171,54,53.457483213438536
532609.6850628131,7501499.134679069,Fault_3498,-148,50,233.45748321343854
532095.0758472775,7502195.977325934,Fault_3498,446,143,53.457483213438536
530809.6797610357,7503528.990286234,Fault_3498,368,165,53.457483213438536
530311.8336132559,7504047.288592443,Fault_3498,185,89,53.457483213438536
514582.3269667469,7494003.171555184,Fault_5298,9,0,35.34528123912275
578988.503542386,7426328.885481471,Fault_5446,182,38,228.8619258557749
579836.2416489859,7424952.427484385,Fault_5446,125,32,228.8619258557749
580274.7414381856,7424148.859969486,Fault_5446,35,10,228.8619258557749
580400.5404908522,7423910.980810772,Fault_5446,65,18,228.8619258557749
578212.8291108479,7425807.553331737,Fault_5968,241,46,231.91756676590467
579075.8586823725,7424343.620641969,Fault_5968,215,55,231.91756676590467
579973.85299961,7423144.728155742,Fault_5968,77,18,231.91756676590467
542707.3904933011,7490597.373729199,Fault_5993,10,0,232.15096703298798
542517.7695477483,7490842.760856229,Fault_5993,9,0,232.15096703298798
542373.611228739,7491121.096265103,Fault_5993,10,1,232.15096703298798
542184.2276158573,7491702.945676575,Fault_5993,234,64,232.15096703298798
571770.7202121194,7431216.376985096,Fault_6508,3090,590,225.75497449551665
577435.3662636627,7425627.167021938,Fault_6508,7798,1186,225.75497449551665
577967.0707668872,7424892.816726404,Fault_6508,7105,1220,225.75497449551665
566943.8505967989,7479678.848015447,Fault_6519,1398,46,43.054217216941545
567548.5448814457,7479370.101598942,Fault_6519,678,11,43.054217216941545
568118.7960234834,7478900.764284735,Fault_6519,9,0,43.054217216941545
570056.2213894727,7475987.577389156,Fault_6519,-5340,70,223.05421721694154
519311.7885439947,7486674.03546105,Fault_7099,417,90,49.558155695785246
520544.2515607681,7485206.71169669,Fault_7099,9,0,49.558155695785246
522017.6055133513,7483630.255254749,Fault_7099,322,96,49.558155695785246
598527.1906718488,7428340.706538421,Fault_7580,140,63,164.39059512376988
597495.4751889865,7428015.911915248,Fault_7580,736,307,164.39059512376988
595524.6304202147,7427500.309001145,Fault_7580,1405,549,164.39059512376988
617666.8699009244,7456688.684950891,Fault_8174,1263,159,182.19922058073186
624743.7882914335,7456885.310961449,Fault_8174,1496,75,182.19922058073186
