X,Y,formation,appar_th,thickness,cl,cm,p1x,p1y,p2x,p2y,dip,type
641486.1503541999,7475490.455879143,Marra_Mamba_Iron_Formation,1097.4246071759896,422,0.7107102621956074,-0.7034848422033348,645003.5745652165,7479044.007190121,637968.7261431833,7471936.904568166,22.63809762739244,full
638441.549935235,7477822.43966996,Marra_Mamba_Iron_Formation,602.3098607985687,235,0.8565322571975548,-0.5160934918985723,641022.0173947278,7482105.100955948,635861.0824757421,7473539.778383972,23.063800098668878,full
636909.790940835,7478447.190822011,Marra_Mamba_Iron_Formation,646.6538336245941,220,0.9827356610973728,-0.1850151896669821,637834.8668891699,7483360.869127498,635984.7149925001,7473533.512516524,19.918719419268385,full
635225.684014405,7478693.93926724,Marra_Mamba_Iron_Formation,1042.2412297569688,299,0.9429897076679168,-0.3328218911555799,636889.7934701829,7483408.88780558,633561.5745586271,7473978.990728901,16.681590213175042,full
632314.0099712149,7480143.000047175,Marra_Mamba_Iron_Formation,689.8821241231091,161,0.9144360059971146,-0.40473051643784497,634337.6625534041,7484715.180077161,630290.3573890257,7475570.82001719,13.567264211643831,full
629962.88510866,7481149.06962412,Marra_Mamba_Iron_Formation,779.4423156401601,212,0.8300047340752991,-0.5577563459187105,632751.6668382535,7485299.093294497,627174.1033790665,7476999.045953744,15.799631884182787,full
629349.661502705,7481756.073953128,Marra_Mamba_Iron_Formation,863.3286335351567,259,0.3659484216872772,-0.9306351340157918,634002.8371727839,7483585.816061565,624696.485832626,7479926.331844692,17.489308140323885,full
629362.225527335,7482626.82427921,Marra_Mamba_Iron_Formation,621.8546406142757,195,-0.2464882774545453,-0.9691457728729416,634207.9543916996,7481394.382891937,624516.4966629703,7483859.265666482,18.354429660728727,full
629855.264597325,7484575.33103703,Marra_Mamba_Iron_Formation,833.649744642256,318,-0.0664641362758023,-0.9977888146241728,634844.2086704458,7484243.01035565,624866.3205242042,7484907.651718409,22.495901221745697,full
629718.0162574849,7486099.849897355,Marra_Mamba_Iron_Formation,801.7323576701091,354,0.3042969726722188,-0.9525772159896136,634480.902337433,7487621.334760716,624955.1301775369,7484578.3650339935,26.23676996513008,full
629297.6185962099,7486742.61838826,Marra_Mamba_Iron_Formation,804.4793108557218,388,0.7340245740176833,-0.6791229084180261,632693.2331383,7490412.741258348,625902.0040541198,7483072.495518171,28.915284275300095,full
627916.800560545,7487684.141445155,Marra_Mamba_Iron_Formation,643.9376738997606,307,0.8892320229646741,-0.4574564562164941,630204.0828416274,7492130.301559978,625629.5182794625,7483237.981330332,28.50390242740722,full
626436.384669355,7488121.150282901,Marra_Mamba_Iron_Formation,424.66629546083294,200,0.986785437072938,-0.16203240781019893,627246.546708406,7493055.077468266,625626.222630304,7483187.223097536,28.140944941559944,full
