x,y,formation,app_th,thickness,norm_th
644163.156690778,7450551.224630234,Brockman_Iron_Formation,1628.3292342555774,1063,1.428763440860215
640758.34245979,7450893.838744105,Brockman_Iron_Formation,1453.9671815279876,967,1.299731182795699
640654.321660025,7450279.845951845,Brockman_Iron_Formation,3868.950873060081,2545,3.420698924731183
639010.9409909099,7450196.893558945,Brockman_Iron_Formation,2181.0571997428838,1388,1.8655913978494623
639052.560444465,7449468.894084755,Brockman_Iron_Formation,1680.891615411429,1055,1.418010752688172
642443.350084075,7447253.337121845,Brockman_Iron_Formation,1914.6358374305814,1156,1.553763440860215
644097.1347022599,7446972.299995955,Brockman_Iron_Formation,2523.0621411045763,1484,1.9946236559139785
568834.87926473,7429027.15048398,Brockman_Iron_Formation,1246.3640063553034,399,0.5362903225806451
571400.464154715,7427849.955437665,Brockman_Iron_Formation,1562.2228247296214,322,0.4327956989247312
544220.624890085,7436803.40129262,Brockman_Iron_Formation,2237.455070906126,1051,1.4126344086021505
545526.81547291,7436491.076115658,Brockman_Iron_Formation,387.2412519494374,189,0.2540322580645161
561959.739002215,7430655.9546808675,Brockman_Iron_Formation,613.0065456606627,408,0.5483870967741935
541511.10446581,7437440.400318115,Brockman_Iron_Formation,1260.9520247732696,575,0.7728494623655914
559603.5749798049,7431231.716679599,Brockman_Iron_Formation,821.8808588263735,628,0.8440860215053764
543275.98524177,7437279.15070794,Brockman_Iron_Formation,1329.3823240786471,605,0.8131720430107527
544706.429299409,7437182.241736641,Brockman_Iron_Formation,1368.5412453012234,643,0.864247311827957
595336.460150655,7421252.98955768,Brockman_Iron_Formation,3776.1753974150342,3729,5.012096774193548
587040.255904365,7427257.600820585,Brockman_Iron_Formation,4902.38892962091,2077,2.7916666666666665
586593.6754377449,7427684.854088345,Brockman_Iron_Formation,4977.136356137131,2066,2.7768817204301075
586492.166012595,7429518.420188585,Brockman_Iron_Formation,4464.6174886200315,2022,2.717741935483871
586429.745239045,7430400.430744701,Brockman_Iron_Formation,4372.494241300105,2023,2.7190860215053765
586048.8843320999,7431141.435960401,Brockman_Iron_Formation,4630.955786144453,2193,2.9475806451612905
588683.434283785,7433478.77930866,Brockman_Iron_Formation,2014.4526551995707,1155,1.5524193548387097
588719.1905638699,7434038.049095855,Brockman_Iron_Formation,1217.8280937263885,710,0.9543010752688172
587843.5803070101,7435715.059882615,Brockman_Iron_Formation,1152.109676933336,691,0.928763440860215
586427.3903129899,7437947.299837615,Brockman_Iron_Formation,2663.00046901647,1556,2.0913978494623655
588779.264185935,7438824.12844831,Brockman_Iron_Formation,967.7115929336861,624,0.8387096774193549
591234.9103760801,7439023.46499474,Brockman_Iron_Formation,991.7167080984932,641,0.8615591397849462
