#ID,SiteCode,SiteCommo,PositionX,PositionY,DistanceToContact,ContainingPolygonID,NeighbourPolygonID,ContainingPolygonCode,NeighbourPolygonCode,ContactType,FaultID
195,S0230414,Fe,545744.41383487,7422702.973713421,1921.95,14333,14333,P_-WYa-s,P_-WYa-s,Fault,3487
196,S0230416,Fe,520591.05989977,7500735.43305293,188.35,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
197,S0230417,Fe,517270.57612148,7499253.790410751,115.23,14341,15990,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
198,S0230912,Lignite,512556.38175865,7455531.05159552,393.40,16333,15486,P_-WYm-sp,P_-WYd-kd,Strat,-1
199,S0230970,Fe,573656.0543611,7482399.076149151,346.50,4684,4684,P_-HAb-cib,P_-HAb-cib,Fault,3495
200,S0231161,Fe,531180.00820947,7462286.58765581,244.71,16774,16774,A-FOj-xs-b,A-FOj-xs-b,Fault,2837
201,S0231299,Fe,548627.20151923,7477461.988909409,1188.21,16190,16938,A-FOh-xs-f,A-FO-xo-a,IntrIgn,-1
202,S0231300,Fe,550977.283161,7477460.80361593,242.47,9862,16190,A-FOo-bbo,A-FOh-xs-f,Strat,-1
203,S0231319,Fe,521925.4711444,7500877.374573209,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
204,S0231520,Agg,578558.64360652,7494118.291313809,426.42,8421,14369,A-FO-od,A-FOj-xs-b,IntrIgn,-1
205,S0231521,Agg,579371.54343609,7488778.310771451,95.08,5293,4680,A-HAm-cib,A-HAd-kd,Strat,-1
206,S0231635,Fe,548532.93667201,7491963.54019548,379.67,4684,3597,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
207,S0231636,Fe,550408.14609664,7486386.390913141,378.36,4684,4684,P_-HAb-cib,P_-HAb-cib,Fault,7439
208,S0231637,Fe,547125.32463288,7487555.927771609,41.65,4684,4684,P_-HAb-cib,P_-HAb-cib,Fault,5991
209,S0231638,Fe,546502.5554484,7487650.053921859,113.79,4684,4684,P_-HAb-cib,P_-HAb-cib,Fault,5993
210,S0232528,Lignite,515717.98804278,7457034.37281551,297.24,15486,16333,P_-WYd-kd,P_-WYm-sp,Strat,-1
211,S0234636,Fe,586413.5438086099,7482094.434603089,271.65,5293,14369,A-HAm-cib,A-FOj-xs-b,Fault,12630
212,S0234756,Fe,514743.99040407,7507540.00905375,84.44,6148,14341,P_-HAj-xci-od,P_-HAb-cib,Igneous,-1
213,S0234757,Fe,518502.98114357,7508350.982121979,136.88,6148,14341,P_-HAj-xci-od,P_-HAb-cib,Igneous,-1
214,S0235818,Sd,523520.69805974,7472843.59487497,504.30,16190,15989,A-FOh-xs-f,A-FO-xo-a,IntrIgn,-1
