WKT	objectid	feature
LINESTRING (581077.90917815 7480837.91895163, 580601.6722119401 7480980.43971354, 580157.2598705899 7481226.94932175, 579913.61298668 7481363.97005487, 578824.9190318499 7481936.00391764, 578487.37889662 7482153.50997411, 578101.0597258901 7482402.02113141, 577869.86182587 7482551.02945058, 577754.0380336 7482625.51931442, 577190.28199331 7483093.05006922, 576532.09099848 7483752.53835335, 576013.3282124799 7484334.53902645, 575932.97893011 7484494.61361314, 575629.07464492 7485100.04453437, 575368.20813082 7486400.03393559, 575078.08060153 7486904.52375479, 574921.37999465 7487382.53161149, 574713.03253032 7487695.5339062, 574459.77130746 7487932.51906034, 573949.26786829 7488525.01030281, 573823.63097605 7488670.4985382, 573705.78248045 7488806.50135585, 572646.62476345 7489414.97841415, 571362.15233114 7490248.9555088, 569987.51458075 7490631.93735807)	8551	Fault or shear zone, major
LINESTRING (568321.20201294 7446339.87048954, 567193.92724924 7444633.32736524)	9320	Fault or shear zone
LINESTRING (540019.18004706 7441700.40969283, 541259.61225069 7440920.89883683, 542488.27555332 7440286.40805068, 543256.80918965 7439863.89023346, 543673.87037482 7439548.10218851, 543843.44321325 7439419.69878769, 544263.30578294 7439101.75365798, 544326.50813069 7439053.8908047, 544684.6791808 7438690.89834363, 544838.9148316199 7438542.82279413, 545049.2172321799 7438340.912325, 545294.81148005 7438031.38945695, 545450.47725375 7437835.1646206, 545496.30132337 7437777.39955872, 545602.81912222 7437642.8987278)	15397	Fault or shear zone
LINESTRING (512855.51947114 7465188.04146992, 513357.43012322 7464342.06209641, 513384.66944071 7464296.05921961, 513630.40040224 7463395.07901319, 513724.60876135 7463049.58136147, 513734.60350634 7463014.18980671, 513929.33922956 7462324.58914385, 514218.00925923 7461514.58097289, 513963.11945727 7461053.57990613, 513799.54081458 7460757.56271349, 513274.99075516 7459801.53076318)	15527	Fault or shear zone
LINESTRING (544229.29847218 7451684.49182652, 544237.92786494 7452120.98188284, 544223.60133684 7453078.97099057, 544077.05063196 7453930.45174041, 543735.71773547 7455083.95000591, 543090.6882838299 7456360.9895145, 541059.32935031 7459777.11899743, 540447.55980016 7460837.15073094, 539460.95386335 7462585.01657167, 539162.75990532 7463113.20046616)	16245	Fault or shear zone
LINESTRING (511975.4630899804 7458347.414508787, 512818.68119331 7458174.4213971, 517092.7557963 7457585.00838037, 518040.43642246 7457426.80217587, 518395.41241885 7457367.52603888, 518544.9854417 7457109.78338527, 518925.23033822 7456454.50121208, 519178.00029335 7455979.49184445)	17127	Fault or shear zone, major
LINESTRING (574060.7803412307 7421210.058449306, 573961.98944238 7421449.36966234, 573925.0587061601 7421571.85835465, 573902.5729600301 7421712.87258904, 573536.19715853 7422246.37078843, 573148.46140521 7422672.36144104, 572831.6579249901 7423020.86872838, 571681.37457268 7423813.70624839, 571397.44040846 7424009.38170744, 571230.52325711 7424126.40058828, 570635.68272371 7424543.3886888, 569856.93619497 7424889.2515647, 568371.32964145 7425548.89074309, 567733.58018028 7425856.88055939, 566745.2223323199 7426334.3695246, 566083.70256991 7426645.35692772, 565241.52035416 7427084.8260337, 564593.63469283 7427461.87431926, 564387.5717077201 7427581.78607513, 563797.66494665 7427826.2748964, 563038.46162474 7428264.74706755, 561934.16703513 7428682.70060705, 560873.95292597 7429068.67222918, 560362.6957679 7429222.68011436, 559869.88156473 7429370.68611707, 559043.4282743901 7429600.18671696, 558734.28269294 7429833.69338704, 558243.42503793 7430274.21250186, 557872.34726751 7430623.71599493, 557265.41936801 7431002.22502148, 556359.85302769 7431468.25292013, 555469.52502273 7431872.32237397, 555358.27859516 7431922.80548545, 555318.55718707 7431931.49432262, 554637.43741518 7432080.46795948, 554384.6269831799 7432135.82981878, 553444.39267058 7432436.84893938, 552982.14887711 7432679.34587968, 551308.6359048 7433479.36952779, 550720.17892251 7433770.37298804, 550061.68629425 7434075.86982243, 548979.72422796 7434428.887033, 547850.69429191 7434640.39694742, 546439.5336409 7434922.90481434, 546190.28238613 7434960.74579942, 544581.35253951 7435204.90603101, 543734.62906623 7435463.8952807, 542605.59898695 7435698.8875143, 542078.64001757 7435870.38910938, 540959.12962415 7436239.90176224, 540065.3705858201 7436380.88865103, 538583.55858353 7436686.90107069, 537925.03048511 7436804.40106505, 537195.87871701 7436874.89180797, 536285.9183745401 7437051.40162196, 535884.83799885 7437328.93267756, 535835.04162684 7437363.38829647, 534794.73216847 7438180.38851582, 534429.22066322 7438431.89183345, 534228.23041407 7438569.88955297, 534053.5317115 7438704.3904345, 533128.55844336 7439420.53114641, 532690.1139281 7439759.942878, 532001.03835649 7440298.39931549, 531270.73000487 7440771.40047257, 530270.67767628 7441593.92142855, 529565.7780426 7442097.93119611, 528598.83137095 7443211.44164229, 527121.08808061 7444504.9683097, 526109.97039627 7445473.98080651, 525830.85783435 7445688.00221281, 523711.83897848 7447035.54838063, 522068.68833605 7448547.64000493, 520830.93099899 7449631.2192745, 519883.00059024 7450763.28816889, 518445.8795272 7452562.85753813)	17128	Fault or shear zone, major
LINESTRING (625226.49954169 7474334.77400805, 624894.3205154 7476716.74966651, 624756.94846057 7477258.24833139, 624577.88808831 7478398.73916261, 624503.29223303 7480053.80986146, 624634.01230837 7480791.85110105, 625013.26926323 7481841.39010904, 625357.16046699 7482317.39040892, 625795.10086514 7482710.40208126)	148	Fault or shear zone
LINESTRING (551359.45907157 7434798.85849178, 551708.35999984 7434590.87241839, 552012.7506366899 7434432.8610144, 552346.39849254 7434345.37014716, 552523.66128902 7434329.87171913)	306	Fault or shear zone
LINESTRING (556882.96814188 7437445.82129141, 557899.2197295401 7437162.29981956, 558997.54097701 7436984.27991418, 560379.37997924 7436671.25035303, 561129.50010027 7436356.73180885, 561943.36781042 7436155.22578777, 562750.85462653 7435928.24254409, 563445.27105492 7435835.26647279, 564234.11313955 7435678.29011665, 565944.4702149699 7435500.83306728, 566723.28087973 7435433.86997358, 567071.3588358701 7435403.87797295, 567554.24019699 7435339.89935627, 568664.9907159 7435339.92821434, 569485.9887305601 7435420.43945247, 571232.75098455 7435666.49886519, 573682.95075003 7435857.03156382, 574454.00935548 7435840.04090536, 574908.01797939 7435830.03027441, 575842.40985272 7435775.04269757, 576296.5174016299 7435748.55709441)	307	Fault or shear zone
