WKT	geopnt_id	dip	azimuth2
POINT (593377.54566183 7471542.23953876)	18958	30	384.0
POINT (589986.78096039 7474127.7426832)	18959	30	433.0
POINT (592172.37888043 7474576.78941732)	18960	5	121.0
POINT (590589.29186494 7475984.30823651)	18961	35	141.0
POINT (596083.43523672 7475918.88164344)	18962	15	169.0
POINT (595574.09555439 7474845.33612882)	18963	80	390.0
POINT (595634.40268057 7473645.79214649)	18964	35	362.0
POINT (595946.62000559 7473305.78236863)	18965	20	365.0
POINT (603933.09737889 7474878.41537053)	18966	10	376.0
POINT (597140.57797898 7477195.44224552)	18967	60	375.0
POINT (586721.9988849 7480525.37560402)	18968	60	165.0
POINT (606392.52340899 7481807.45662991)	18969	75	366.0
POINT (619906.5562612599 7482080.99000879)	18970	25	178.0
POINT (610336.41521694 7478471.41637049)	18971	70	368.0
POINT (595131.44507645 7491404.16552513)	18972	0	369.0
POINT (589180.69502794 7488020.07128749)	18973	14	401.0
POINT (585035.6075144199 7487154.06645763)	18974	8	399.0
POINT (600790.74331739 7500172.00925434)	18975	8	425.0
POINT (591990.10991794 7504374.26526508)	18976	9	438.0
POINT (586800.55349044 7501070.69072115)	18977	0	90.0
POINT (585035.66086206 7508818.76155731)	18978	0	90.0
POINT (594078.90793229 7506681.2734176)	18979	12	429.0
POINT (616987.46942247 7505240.93240244)	19014	30	401.0
POINT (612196.73633224 7507639.95541634)	19015	10	373.0
POINT (618283.06424159 7494620.24937409)	19016	20	370.0
POINT (618510.90312951 7493431.7028363)	19017	45	373.0
POINT (609199.65788697 7492570.44390238)	19018	15	396.0
POINT (625045.71818429 7484320.02925223)	19019	20	180.0
POINT (625230.8196239 7472987.27382301)	19020	10	410.0
POINT (625721.95027397 7470638.32604055)	19021	40	407.0
POINT (610856.4203927499 7472665.35121009)	19022	65	413.0
POINT (605637.8101038 7467028.75419364)	19023	10	173.0
POINT (610173.73902349 7466673.25589871)	19024	15	112.0
POINT (615169.47883118 7469913.21685)	19025	40	179.0
POINT (619963.30823831 7467404.62884712)	19026	70	368.0
POINT (608445.72774584 7462444.21644437)	19027	5	448.0
POINT (608034.70377137 7459636.23953627)	19028	10	120.0
POINT (619810.04969169 7460123.59153059)	19029	0	140.0
POINT (636317.19563836 7459346.19384157)	19030	45	373.0
POINT (641031.54765736 7463908.10794644)	19031	20	160.0
POINT (630921.0992694499 7462515.87500031)	19032	20	361.0
POINT (626744.94250725 7467430.95273447)	19033	55	372.0
POINT (629880.66537408 7467508.02696224)	19034	20	361.0
POINT (631856.6035144 7467974.92807482)	19035	5	103.0
POINT (634371.49042669 7468657.82768244)	19036	20	412.0
POINT (630199.05094699 7475339.89078403)	19037	0	392.0
POINT (639483.2757479399 7477561.7312083)	19038	30	373.0
POINT (643814.9154662 7474646.70380401)	19039	20	387.0
POINT (642701.18365384 7479614.77086621)	19040	15	374.0
POINT (639770.70502258 7481523.8153223)	19041	25	373.0
POINT (631461.6929667901 7481020.84062801)	19042	15	379.0
POINT (629326.63883299 7481636.88884305)	19043	20	421.0
POINT (634268.9989898599 7483427.85632053)	19044	15	437.0
POINT (636496.33637734 7483992.37637506)	19045	0	400.0
POINT (639236.9209890499 7486235.4460938)	19046	0	397.0
POINT (633386.2209689301 7486373.94048245)	19047	30	431.0
POINT (630584.06929904 7484536.39900353)	19048	20	90.0
POINT (628757.03391316 7487867.48446192)	19049	45	387.0
POINT (631266.61979972 7489242.51959967)	19050	40	386.0
POINT (632174.97740204 7490803.07286221)	19051	20	427.0
POINT (631169.06050378 7492317.12483763)	19052	15	113.0
POINT (629562.64121055 7493476.66657656)	19053	40	408.0
POINT (628613.1495977 7495611.73701957)	19054	0	93.0
POINT (630204.1478704599 7497408.27804363)	19055	20	149.0
POINT (638466.97589429 7498049.78586786)	19056	15	362.0
POINT (635095.07314312 7501893.84427616)	19057	5	365.0
POINT (629885.90349737 7505450.37638555)	19058	5	379.0
POINT (635351.6944536 7505696.87344591)	19059	10	384.0
POINT (643060.30743674 7504834.36754388)	19060	0	123.0
POINT (630973.91320032 7508247.40043631)	19065	10	394.0
POINT (530058.68229413 7464016.56701922)	24281	85	380.0
